dump,frame,n_ice,n_max,n_clusters,n_ic,n_ih,n_mixed,cubicity,chill_cubic,chill_hexagonal,chill_interfacial,chill_clathrate,chill_interclathrate,chill_water,chill_max
niu-critical-melting,351,414.0,305.0,8.0,170.0,123.0,121.0,0.7028985507246377,61.0,87.0,231.0,31.0,193.0,2277.0,109.0
niu-critical-melting,361,439.0,319.0,9.0,165.0,148.0,126.0,0.662870159453303,60.0,89.0,245.0,22.0,209.0,2255.0,108.0
niu-critical-melting,371,409.0,270.0,9.0,141.0,150.0,118.0,0.6332518337408313,58.0,87.0,234.0,22.0,197.0,2282.0,105.0
niu-critical-melting,381,408.0,267.0,8.0,154.0,153.0,101.0,0.625,50.0,72.0,253.0,15.0,195.0,2295.0,92.0
niu-critical-melting,391,413.0,285.0,8.0,126.0,175.0,112.0,0.576271186440678,50.0,85.0,238.0,17.0,176.0,2314.0,95.0
niu-critical-melting,401,373.0,276.0,7.0,130.0,145.0,98.0,0.6112600536193029,49.0,66.0,212.0,21.0,179.0,2353.0,84.0
niu-critical-melting,411,363.0,287.0,7.0,140.0,124.0,99.0,0.6584022038567493,42.0,82.0,253.0,24.0,197.0,2282.0,86.0
niu-critical-melting,421,441.0,268.0,9.0,129.0,204.0,108.0,0.5374149659863946,47.0,84.0,247.0,10.0,190.0,2302.0,86.0
niu-critical-melting,431,421.0,290.0,7.0,140.0,166.0,115.0,0.6057007125890737,49.0,86.0,257.0,20.0,211.0,2257.0,93.0
niu-critical-melting,441,329.0,231.0,8.0,97.0,136.0,96.0,0.5866261398176292,35.0,59.0,211.0,14.0,204.0,2357.0,63.0
niu-critical-melting,451,386.0,304.0,7.0,121.0,154.0,111.0,0.6010362694300518,36.0,74.0,248.0,19.0,199.0,2304.0,77.0
niu-critical-melting,461,352.0,252.0,7.0,91.0,164.0,97.0,0.5340909090909091,42.0,74.0,233.0,22.0,192.0,2317.0,80.0
niu-critical-melting,471,348.0,265.0,4.0,112.0,122.0,114.0,0.6494252873563219,47.0,78.0,220.0,18.0,223.0,2294.0,75.0
niu-critical-melting,481,334.0,260.0,7.0,106.0,132.0,96.0,0.6047904191616766,44.0,66.0,221.0,27.0,244.0,2278.0,65.0
niu-critical-melting,491,347.0,226.0,6.0,143.0,106.0,98.0,0.6945244956772334,38.0,77.0,229.0,22.0,201.0,2313.0,64.0
niu-critical-melting,501,346.0,212.0,8.0,80.0,182.0,84.0,0.47398843930635837,32.0,67.0,195.0,21.0,202.0,2363.0,64.0
niu-critical-melting,511,247.0,179.0,5.0,68.0,93.0,86.0,0.6234817813765182,31.0,62.0,160.0,28.0,219.0,2380.0,66.0
niu-critical-melting,521,274.0,194.0,7.0,67.0,123.0,84.0,0.551094890510949,26.0,49.0,149.0,21.0,233.0,2402.0,44.0
niu-critical-melting,531,231.0,167.0,6.0,62.0,105.0,64.0,0.5454545454545454,19.0,42.0,157.0,29.0,213.0,2420.0,37.0
niu-critical-melting,541,264.0,172.0,8.0,62.0,130.0,72.0,0.5075757575757576,23.0,58.0,204.0,19.0,205.0,2371.0,40.0
niu-critical-melting,551,254.0,174.0,6.0,68.0,121.0,65.0,0.5236220472440944,25.0,55.0,193.0,22.0,217.0,2368.0,52.0
niu-critical-melting,561,314.0,175.0,10.0,130.0,107.0,77.0,0.6592356687898089,30.0,67.0,184.0,28.0,212.0,2359.0,60.0
niu-critical-melting,571,311.0,175.0,10.0,82.0,166.0,63.0,0.4662379421221865,33.0,61.0,194.0,29.0,232.0,2331.0,69.0
niu-critical-melting,581,361.0,210.0,8.0,114.0,163.0,84.0,0.5484764542936288,29.0,63.0,217.0,18.0,206.0,2347.0,50.0
niu-critical-melting,591,251.0,165.0,6.0,66.0,110.0,75.0,0.5617529880478087,29.0,58.0,185.0,33.0,200.0,2375.0,46.0
niu-critical-melting,601,305.0,195.0,7.0,116.0,121.0,68.0,0.6032786885245902,31.0,46.0,176.0,32.0,201.0,2394.0,44.0
niu-critical-melting,611,302.0,218.0,5.0,99.0,140.0,63.0,0.5364238410596026,21.0,50.0,195.0,23.0,225.0,2366.0,37.0
niu-critical-melting,621,241.0,165.0,4.0,71.0,115.0,55.0,0.5228215767634855,17.0,37.0,190.0,33.0,206.0,2397.0,10.0
niu-critical-melting,631,226.0,152.0,5.0,70.0,114.0,42.0,0.49557522123893805,14.0,45.0,162.0,30.0,203.0,2426.0,27.0
niu-critical-melting,641,288.0,179.0,7.0,56.0,180.0,52.0,0.375,14.0,41.0,149.0,29.0,205.0,2442.0,22.0
niu-critical-melting,651,244.0,168.0,7.0,110.0,100.0,34.0,0.5901639344262295,15.0,48.0,171.0,20.0,186.0,2440.0,19.0
niu-critical-melting,661,327.0,149.0,11.0,91.0,203.0,33.0,0.37920489296636084,17.0,36.0,200.0,21.0,208.0,2398.0,14.0
