# data/public-ice/critical/Critical-nucleus_analysis-trajectory/Critical-nucleus-analysis-melting nframes 1001 last 1001 stride 1
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
683 2880 16 44 186 21 212 2401 60 15 31 273 141 10 158 80 50 288 152 10
684 2880 13 47 173 25 192 2430 60 11 38 264 162 7 150 76 49 275 157 9
685 2880 17 43 145 30 205 2440 60 20 27 239 147 7 152 63 49 264 158 8
686 2880 16 48 159 22 209 2426 64 28 28 237 131 9 196 67 37 300 160 11
687 2880 15 50 181 24 196 2414 65 24 38 245 155 7 155 73 48 276 160 9
688 2880 17 47 168 32 189 2427 64 22 32 328 165 12 147 100 52 299 169 10
689 2880 15 40 166 25 181 2453 55 12 31 329 164 9 169 93 54 316 164 8
690 2880 21 43 186 33 179 2418 64 18 32 309 149 11 163 97 51 311 149 10
691 2880 21 57 201 34 202 2365 78 23 43 277 141 9 127 78 48 253 141 8
692 2880 13 54 173 21 216 2403 67 17 28 213 127 8 128 59 45 232 122 9
693 2880 15 39 158 22 211 2435 54 17 25 235 115 9 121 60 48 229 123 9
694 2880 14 43 149 18 202 2454 57 17 24 212 104 9 123 55 48 226 130 8
695 2880 20 35 157 21 204 2443 55 13 30 240 119 10 136 51 48 235 126 8
696 2880 15 47 181 18 198 2421 62 24 33 185 112 6 134 56 36 226 129 7
697 2880 13 42 162 24 229 2410 55 22 29 166 106 6 80 36 33 149 101 5
698 2880 16 47 153 26 197 2441 63 27 31 190 128 6 98 58 52 208 146 6
699 2880 14 48 173 21 210 2414 62 22 36 188 92 8 98 45 36 179 95 7
700 2880 18 44 168 22 207 2421 62 34 27 192 100 7 140 69 38 247 119 9
701 2880 14 47 147 20 206 2446 61 17 38 226 118 10 157 27 37 221 137 8
702 2880 13 39 146 28 191 2463 52 24 25 224 116 8 112 46 34 192 120 7
703 2880 11 44 147 23 212 2443 55 15 29 241 97 10 132 45 36 213 105 8
704 2880 12 43 120 22 193 2490 55 16 23 232 112 11 123 52 31 206 122 8
705 2880 14 47 126 29 202 2462 61 33 29 230 124 9 117 42 33 192 132 6
706 2880 14 35 125 27 199 2480 49 17 25 172 112 6 93 48 31 172 112 6
707 2880 13 38 142 26 204 2457 51 16 29 146 98 5 47 45 30 122 98 3
708 2880 15 32 148 21 233 2431 47 20 20 158 98 6 59 46 30 135 99 4
709 2880 18 39 134 28 226 2435 57 29 29 178 94 8 65 41 30 136 94 4
710 2880 10 40 152 27 217 2434 50 13 32 178 82 9 83 29 30 142 82 6
711 2880 17 45 142 18 220 2438 62 30 31 177 105 6 102 42 33 177 105 7
712 2880 12 47 160 30 209 2422 59 15 32 161 87 7 59 45 33 137 87 5
713 2880 23 43 131 23 217 2443 66 41 26 191 93 9 81 76 30 187 97 8
