# data/public-ice/critical/Critical-nucleus_analysis-trajectory/Critical-nucleus-analysis-growing nframes 801 last 801 stride 1
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
760 2880 186 163 277 17 195 2042 349 318 26 750 726 3 143 326 294 763 739 3
761 2880 187 149 278 18 173 2075 336 309 24 753 731 2 125 327 292 744 710 3
762 2880 185 163 299 18 167 2048 348 318 29 707 689 2 127 318 296 741 719 2
763 2880 191 165 314 18 184 2008 356 325 25 765 707 4 128 320 298 746 712 3
764 2880 189 156 300 22 181 2032 345 317 26 746 686 4 132 328 293 753 719 3
765 2880 185 159 289 24 174 2049 344 303 34 744 720 3 142 309 294 745 733 2
766 2880 176 156 286 26 183 2053 332 288 40 717 693 3 116 325 278 719 719 1
767 2880 174 145 275 19 168 2099 319 294 24 708 696 2 121 308 284 713 713 1
768 2880 189 160 297 23 176 2035 349 313 30 753 695 5 134 320 284 738 726 2
769 2880 191 151 274 20 179 2065 342 322 21 742 692 5 128 325 287 740 714 3
770 2880 174 147 259 17 160 2123 321 294 24 742 692 5 144 311 273 728 690 4
771 2880 182 154 304 20 171 2049 336 303 27 693 693 1 120 308 273 701 701 1
772 2880 174 152 329 26 197 2002 326 289 35 716 668 4 125 309 286 720 682 4
773 2880 186 153 313 23 159 2046 339 304 30 689 645 4 122 312 285 719 693 3
774 2880 195 151 292 24 196 2022 346 324 21 725 701 3 137 300 286 723 699 3
775 2880 181 150 295 24 170 2060 331 293 32 720 708 2 117 325 284 726 714 2
