# data/public-ice/nucleation/Ice_nucleation_trajectory/Nucleation_trajectory-2 nframes 1001 last 1001 stride 1
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
717 2880 1182 330 313 20 124 911 1512 1507 6 2063 2063 1 74 1343 674 2091 2091 1
718 2880 1266 349 342 13 78 832 1615 1608 8 2177 2177 1 95 1405 710 2210 2210 1
719 2880 1282 367 340 9 83 799 1649 1629 19 2217 2217 1 95 1441 713 2249 2249 1
720 2880 1280 369 369 8 95 759 1649 1631 14 2220 2220 1 74 1444 718 2236 2236 1
721 2880 1282 376 354 14 79 775 1658 1645 13 2217 2217 1 77 1450 690 2217 2217 1
722 2880 1296 364 370 14 83 753 1660 1648 13 2231 2231 1 92 1468 708 2268 2268 1
723 2880 1339 384 337 11 72 737 1723 1711 12 2267 2267 1 98 1447 743 2288 2288 1
724 2880 1351 401 326 8 93 701 1752 1743 10 2284 2284 1 113 1435 739 2287 2287 1
725 2880 1341 399 343 6 64 727 1740 1725 15 2275 2275 1 122 1413 753 2288 2288 1
726 2880 1350 410 326 3 66 725 1760 1746 15 2262 2262 1 124 1398 750 2272 2272 1
727 2880 1352 404 324 10 49 741 1756 1745 10 2282 2282 1 130 1412 752 2294 2294 1
728 2880 1383 401 329 4 52 711 1784 1779 6 2300 2300 1 121 1427 752 2300 2300 1
729 2880 1400 386 320 6 63 705 1786 1772 15 2276 2276 1 125 1426 745 2296 2296 1
730 2880 1378 399 307 7 65 724 1777 1765 12 2269 2269 1 111 1445 730 2286 2286 1
731 2880 1331 377 344 8 53 767 1708 1695 13 2239 2239 1 104 1429 722 2255 2255 1
732 2880 1368 384 355 13 65 695 1752 1745 8 2264 2264 1 111 1465 731 2307 2307 1
733 2880 1343 381 358 5 64 729 1724 1717 7 2289 2289 1 120 1452 748 2320 2320 1
734 2880 1352 381 358 8 62 719 1733 1722 11 2279 2279 1 118 1453 744 2315 2315 1
735 2880 1349 382 343 7 66 733 1731 1720 11 2269 2269 1 117 1441 743 2301 2301 1
736 2880 1327 385 358 8 64 738 1712 1703 9 2273 2273 1 111 1449 745 2305 2305 1
737 2880 1330 369 356 6 68 751 1699 1693 7 2256 2256 1 117 1430 751 2298 2298 1
738 2880 1352 385 349 2 58 734 1737 1727 11 2272 2272 1 111 1453 736 2300 2300 1
739 2880 1389 387 320 3 76 705 1776 1766 11 2250 2250 1 99 1444 719 2262 2262 1
740 2880 1332 378 353 7 71 739 1710 1701 10 2250 2250 1 99 1458 703 2260 2260 1
741 2880 1316 361 367 7 79 750 1677 1669 8 2229 2229 1 95 1450 701 2246 2246 1
742 2880 1326 373 351 9 63 758 1699 1689 11 2242 2242 1 106 1435 723 2264 2264 1
743 2880 1367 370 337 11 70 725 1737 1728 10 2261 2261 1 110 1426 718 2254 2254 1
744 2880 1366 376 348 8 74 708 1742 1728 13 2253 2253 1 105 1449 711 2265 2265 1
745 2880 1381 387 322 9 48 733 1768 1757 10 2261 2261 1 109 1458 717 2284 2284 1
746 2880 1317 370 370 7 72 744 1687 1674 13 2244 2244 1 105 1456 707 2268 2268 1
747 2880 1332 383 364 4 70 727 1715 1701 14 2254 2254 1 116 1443 710 2269 2269 1
748 2880 1337 387 347 7 63 739 1724 1711 11 2256 2256 1 106 1451 704 2261 2261 1
749 2880 1314 387 368 6 80 725 1701 1685 15 2268 2268 1 125 1430 721 2276 2276 1
750 2880 1349 399 343 7 60 722 1748 1738 10 2282 2282 1 118 1451 716 2285 2285 1
751 2880 1344 381 360 5 50 740 1725 1713 12 2267 2267 1 118 1454 712 2284 2284 1
752 2880 1298 386 378 17 57 744 1684 1667 18 2265 2265 1 127 1426 723 2276 2276 1
753 2880 1342 389 352 10 66 721 1731 1723 9 2254 2254 1 131 1417 723 2271 2271 1
754 2880 1327 382 367 8 62 734 1709 1693 13 2267 2267 1 131 1430 711 2272 2272 1
755 2880 1327 380 363 7 73 730 1707 1693 15 2285 2285 1 137 1430 717 2284 2284 1
756 2880 1355 382 339 10 65 729 1737 1724 14 2278 2278 1 134 1418 728 2280 2280 1
757 2880 1341 387 332 8 57 755 1728 1716 11 2259 2259 1 124 1441 708 2273 2273 1
758 2880 1326 378 349 6 44 777 1704 1695 9 2285 2285 1 141 1437 712 2290 2290 1
759 2880 1305 369 358 6 55 787 1674 1662 13 2245 2245 1 133 1421 711 2265 2265 1
760 2880 1364 390 334 8 51 733 1754 1744 11 2258 2258 1 128 1427 716 2271 2271 1
761 2880 1340 373 347 5 60 755 1713 1694 18 2264 2264 1 133 1425 717 2275 2275 1
762 2880 1345 398 354 3 62 718 1743 1725 16 2261 2261 1 131 1433 713 2277 2277 1
763 2880 1301 376 363 4 57 779 1677 1666 11 2263 2263 1 136 1411 718 2265 2265 1
764 2880 1283 374 382 3 57 781 1657 1649 9 2247 2247 1 134 1422 716 2272 2272 1
765 2880 1331 384 339 5 47 774 1715 1699 13 2265 2265 1 124 1415 732 2271 2271 1
766 2880 1322 385 346 2 53 772 1707 1697 10 2273 2273 1 124 1425 726 2275 2275 1
767 2880 1333 384 354 5 57 747 1717 1704 14 2264 2264 1 125 1426 729 2280 2280 1
768 2880 1262 378 387 4 65 784 1640 1627 13 2239 2239 1 125 1421 725 2271 2271 1
769 2880 1360 396 318 4 63 739 1756 1751 6 2258 2258 1 119 1436 723 2278 2278 1
770 2880 1350 373 360 2 52 743 1723 1714 5 2270 2270 1 118 1435 714 2267 2267 1
771 2880 1316 379 342 5 60 778 1695 1686 9 2261 2261 1 116 1422 716 2254 2254 1
772 2880 1312 381 348 3 63 773 1693 1680 12 2269 2269 1 111 1429 715 2255 2255 1
773 2880 1313 383 356 9 62 757 1696 1685 11 2246 2246 1 117 1427 715 2259 2259 1
774 2880 1349 383 331 6 63 748 1732 1711 14 2248 2248 1 113 1433 717 2263 2263 1
775 2880 1354 389 316 5 61 755 1743 1725 14 2237 2237 1 115 1425 715 2255 2255 1
776 2880 1318 370 374 4 66 748 1688 1679 10 2248 2248 1 113 1428 714 2255 2255 1
777 2880 1292 382 355 4 64 783 1674 1664 7 2243 2243 1 121 1413 722 2256 2256 1
778 2880 1333 378 355 9 72 733 1711 1699 11 2241 2241 1 115 1431 715 2261 2261 1
779 2880 1287 384 361 7 75 766 1671 1662 8 2244 2244 1 123 1417 723 2263 2263 1
780 2880 1312 370 356 11 66 765 1682 1664 17 2229 2229 1 120 1412 730 2262 2262 1
781 2880 1368 388 323 7 55 739 1756 1743 9 2271 2271 1 123 1419 736 2278 2278 1
782 2880 1369 392 327 6 57 729 1761 1752 10 2272 2272 1 119 1420 727 2266 2266 1
783 2880 1349 403 316 5 68 739 1752 1740 13 2245 2245 1 119 1417 729 2265 2265 1
784 2880 1329 388 336 6 56 765 1717 1711 7 2267 2267 1 119 1421 725 2265 2265 1
785 2880 1282 359 373 6 70 790 1641 1620 18 2239 2239 1 131 1409 729 2269 2269 1
786 2880 1311 370 335 7 80 777 1681 1670 11 2242 2242 1 117 1419 715 2251 2251 1
787 2880 1356 383 341 5 64 731 1739 1725 11 2287 2287 1 115 1432 728 2275 2275 1
788 2880 1319 374 348 7 76 756 1693 1684 9 2281 2281 1 110 1425 730 2265 2265 1
789 2880 1294 371 367 13 63 772 1665 1650 9 2233 2233 1 109 1436 724 2269 2269 1
790 2880 1278 365 345 5 74 813 1643 1638 5 2254 2254 1 113 1407 740 2260 2260 1
791 2880 1281 368 336 11 87 797 1649 1641 9 2181 2181 1 114 1384 713 2211 2211 1
792 2880 1273 370 343 14 112 768 1643 1638 6 2203 2203 1 118 1359 737 2214 2214 1
793 2880 1258 353 334 16 81 838 1611 1604 6 2201 2201 1 98 1389 733 2220 2220 1
794 2880 1333 398 312 14 83 740 1731 1725 6 2282 2282 1 125 1403 769 2297 2297 1
